snapped_at,price,market_cap,total_volume
2020-08-10 00:00:00 UTC,2.1045585572604875,0.0,146223.79124604128
2020-08-11 00:00:00 UTC,2.0988780609013378,0.0,401427.90842036606
2020-08-12 00:00:00 UTC,2.0510775833288837,0.0,310201.26190250186
2020-08-13 00:00:00 UTC,2.224365787832213,0.0,905442.0894955954
2020-08-14 00:00:00 UTC,2.4380062144617374,0.0,590776.0858605531
2020-08-15 00:00:00 UTC,2.605640244494452,0.0,773187.9755036834
2020-08-16 00:00:00 UTC,2.4750299498132597,0.0,516080.2276774305
2020-08-17 00:00:00 UTC,2.5408137830659503,0.0,511495.2818833755
2020-08-18 00:00:00 UTC,2.581887466340136,0.0,640910.433713926
2020-08-19 00:00:00 UTC,2.6842064905320635,0.0,691468.5124995308
2020-08-20 00:00:00 UTC,2.5599923565644653,0.0,608456.2468911228
2020-08-21 00:00:00 UTC,2.594319955980018,0.0,390039.12390940025
2020-08-22 00:00:00 UTC,2.4334356526269567,0.0,894122.8527012039
2020-08-23 00:00:00 UTC,2.3280380026514766,0.0,812989.3696454479
2020-08-24 00:00:00 UTC,2.376684606415653,0.0,376998.94602739543
2020-08-25 00:00:00 UTC,2.4602719736468095,0.0,597641.4811356681
2020-08-26 00:00:00 UTC,2.89596642462867,0.0,9709101.670740461
2020-08-27 00:00:00 UTC,4.450925385522408,0.0,34228439.348815195
2020-08-28 00:00:00 UTC,3.966222217721162,0.0,22099533.601679277
2020-08-29 00:00:00 UTC,4.217858706063654,0.0,11846746.510955675
2020-08-30 00:00:00 UTC,4.02797012337176,0.0,13254516.881669363
2020-08-31 00:00:00 UTC,4.096856087380898,0.0,14383261.80130261
2020-09-01 00:00:00 UTC,3.904266322592513,0.0,9509149.420269601
2020-09-02 00:00:00 UTC,4.042319826892633,0.0,25833064.444344174
2020-09-03 00:00:00 UTC,3.841111789928521,0.0,9146785.174537662
2020-09-04 00:00:00 UTC,4.187417047849495,0.0,36257382.043032534
2020-09-05 00:00:00 UTC,4.045708093136395,0.0,38489049.66349821
2020-09-06 00:00:00 UTC,3.3479477018704076,0.0,17642911.2591627
2020-09-07 00:00:00 UTC,3.494318681803462,0.0,11484974.177015899
2020-09-08 00:00:00 UTC,3.3115400287220536,0.0,7049374.977689803
2020-09-09 00:00:00 UTC,3.0851685252556296,0.0,6897246.473339661
2020-09-10 00:00:00 UTC,3.1202517400106013,0.0,6137086.79291486
2020-09-11 00:00:00 UTC,3.0801765795466687,0.0,4518512.42113912
2020-09-12 00:00:00 UTC,2.975384780874171,0.0,5432509.611307166
2020-09-13 00:00:00 UTC,2.978679934158142,0.0,4434988.885656307
2020-09-14 00:00:00 UTC,2.7911321397435933,0.0,3289699.319474772
2020-09-15 00:00:00 UTC,2.778423376604519,0.0,3197229.732971306
2020-09-16 00:00:00 UTC,2.569257801571466,0.0,5050449.901732173
2020-09-17 00:00:00 UTC,2.489740197196558,0.0,4570407.4983389955
2020-09-18 00:00:00 UTC,2.319340543467241,0.0,4454121.234232149
2020-09-19 00:00:00 UTC,2.0393635605829292,0.0,5462429.5761771
2020-09-20 00:00:00 UTC,2.1087610196185773,0.0,1743704.4097449624
2020-09-21 00:00:00 UTC,3.585216006994389,0.0,66510158.76863715
2020-09-22 00:00:00 UTC,2.8091531930328046,0.0,23676054.936853208
2020-09-23 00:00:00 UTC,2.693565620930739,0.0,9279902.590588558
2020-09-24 00:00:00 UTC,2.4071878799838315,0.0,7136326.614240107
2020-09-25 00:00:00 UTC,2.514414448871822,0.0,6250919.114969814
2020-09-26 00:00:00 UTC,2.5059608218669656,0.0,5347943.75466947
2020-09-27 00:00:00 UTC,2.498408632725876,0.0,4292444.096759587
2020-09-28 00:00:00 UTC,2.4105567672604904,0.0,2655483.674657883
2020-09-29 00:00:00 UTC,2.3061208071830213,0.0,5420919.163013179
