snapped_at,price,market_cap,total_volume
2020-11-19 00:00:00 UTC,1.0012856448088843,0.0,433155.493859659
2020-11-20 00:00:00 UTC,1.0012856448088843,0.0,433155.493859659
2020-11-21 00:00:00 UTC,0.9967146740176571,0.0,477937.00288742344
2020-11-22 00:00:00 UTC,1.0004637815939885,0.0,303538.4316415956
2020-11-23 00:00:00 UTC,0.9969292255529814,0.0,64122.43034386923
2020-11-24 00:00:00 UTC,0.9967874889362807,0.0,1017509.3858150485
2020-11-25 00:00:00 UTC,0.9973832347108602,0.0,1114288.1676322287
2020-11-26 00:00:00 UTC,0.9946914210914151,0.0,454561.64552409825
2020-11-27 00:00:00 UTC,1.0020834818375288,0.0,568116.2207501328
2020-11-28 00:00:00 UTC,1.0034600149511448,0.0,373808.8485964269
2020-11-29 00:00:00 UTC,0.9973510957858688,0.0,608667.2859969574
2020-11-30 00:00:00 UTC,0.9984076921553289,0.0,194756.70894361395
2020-12-01 00:00:00 UTC,0.9968105908415882,0.0,149982.37668631313
2020-12-02 00:00:00 UTC,1.0028836098035536,0.0,805020.492000702
2020-12-03 00:00:00 UTC,0.9965430355513999,16228005.530480733,326210.4567303332
2020-12-04 00:00:00 UTC,1.000020859661102,16310672.631169133,571525.8674283165
2020-12-05 00:00:00 UTC,1.0027932269947872,16291836.714598507,639058.4128025154
2020-12-06 00:00:00 UTC,1.0030993398160946,16400603.076196153,258049.73626987502
2020-12-07 00:00:00 UTC,0.9997137807654611,16382047.698242301,20492.436209059797
2020-12-08 00:00:00 UTC,1.0006835257806517,16386444.109477112,115756.72287654469
2020-12-09 00:00:00 UTC,1.0027082727534413,16459396.878963778,317436.0010531417
2020-12-10 00:00:00 UTC,0.9988415683043307,16519304.453605555,843885.2645266143
2020-12-11 00:00:00 UTC,1.0015112539642268,16703109.034610173,503771.8803390479
2020-12-12 00:00:00 UTC,1.0006481751376342,16851182.634191737,1167384.857774691
2020-12-13 00:00:00 UTC,1.001479109061075,16938146.886634313,672483.1531459743
2020-12-14 00:00:00 UTC,0.9980801348013365,17009072.538979646,508552.60198471765
2020-12-15 00:00:00 UTC,0.9998756254332327,17090655.073384788,492138.2423342731
2020-12-16 00:00:00 UTC,0.9998459691010366,17248844.408307053,280853.7058285442
2020-12-17 00:00:00 UTC,0.9955865279975739,17386903.88081501,494201.13997487887
2020-12-18 00:00:00 UTC,0.9986913613617651,17549770.682057384,1217098.5620604083
2020-12-19 00:00:00 UTC,1.003088824312748,17758744.10064747,393144.1779830044
2020-12-20 00:00:00 UTC,0.9969950988687319,17775710.898606785,330704.6943954442
2020-12-21 00:00:00 UTC,1.0024133587262827,18015201.86708894,461350.9611826673
2020-12-22 00:00:00 UTC,1.0018574625968166,18060882.365772024,568465.559397952
2020-12-23 00:00:00 UTC,1.0022603886169152,18138715.061007064,877738.3170436
2020-12-24 00:00:00 UTC,1.0013508610123039,18171926.012973815,796758.890292151
2020-12-25 00:00:00 UTC,1.0018715160915255,18301886.199709892,755381.806442773
2020-12-26 00:00:00 UTC,1.0064070762496098,18432565.9053275,588518.8443040993
2020-12-27 00:00:00 UTC,1.00259856959388,18397790.983551502,536619.6273182203
2020-12-28 00:00:00 UTC,1.000959844455171,18482612.703216653,628735.9724090762
2020-12-29 00:00:00 UTC,1.0039128748460056,18601425.2116919,389434.3487849312
2020-12-30 00:00:00 UTC,1.0034764586737923,18603466.520488314,248709.84042700203
2020-12-31 00:00:00 UTC,0.9990915718565292,18534098.710202966,294712.9125153228
2021-01-01 00:00:00 UTC,1.0018821080358604,18603747.640930288,171880.99528131413
2021-01-02 00:00:00 UTC,1.0048945992127207,18686099.75426297,171696.25992512424
2021-01-03 00:00:00 UTC,0.9995718787248119,18616493.560172472,292875.0239220744
2021-01-04 00:00:00 UTC,1.0045146353589431,18667890.548531145,429549.7279302585
2021-01-05 00:00:00 UTC,0.9890824135647681,18568352.63325701,548476.9856122183
2021-01-06 00:00:00 UTC,1.000167461889597,18696377.012644637,382934.0836319516
2021-01-07 00:00:00 UTC,1.0026818430093645,19040894.066267125,281171.6856793293
2021-01-08 00:00:00 UTC,1.0055190031801933,20098273.359162495,113332.54508198921
2021-01-09 00:00:00 UTC,1.0068775922198594,20981715.75702398,350670.39971996483
2021-01-10 00:00:00 UTC,0.9991123340914855,21433554.86305836,122562.8020770191
2021-01-11 00:00:00 UTC,1.0032742134652382,21622992.117655203,333882.7493168818
2021-01-12 00:00:00 UTC,1.0017626863882196,22202040.16520765,662240.6904120242
2021-01-13 00:00:00 UTC,1.0066714581887715,22494878.411282867,244486.08658794945
2021-01-14 00:00:00 UTC,1.001586704341823,23530796.035043154,292238.34471602825
2021-01-15 00:00:00 UTC,1.0069109653621995,24633443.298655458,258679.95596086883
2021-01-16 00:00:00 UTC,1.0069865278723698,25307885.574434943,69339.36147278332
2021-01-17 00:00:00 UTC,1.0067643561768687,26129129.035863142,426545.649336579
2021-01-18 00:00:00 UTC,1.0021495071369808,26961685.645183228,461181.2428155609
2021-01-19 00:00:00 UTC,1.0018542827109322,27420445.500847284,275750.2410223663
2021-01-20 00:00:00 UTC,0.9978862108720096,28182871.79261126,189487.14526670857
2021-01-21 00:00:00 UTC,1.0025837750524844,29328067.456915732,126268.76857534796
2021-01-22 00:00:00 UTC,1.0018080162746998,30424051.60732925,519218.40087633365
2021-01-23 00:00:00 UTC,1.0021123479271592,30648275.361753512,515274.8906318165
2021-01-24 00:00:00 UTC,1.0004376940643007,30580611.46553508,78827.92600667929
